,EventName,RoundNumber,eventYear,Team,Compound,Driver,Stint,bestPreRaceTime,bestLapTimeIsFrom,meanAirTemp,meanTrackTemp,meanHumid,Rainfall,GridPosition,Position,raceStintsNums,TyreAge,lapNumberAtBeginingOfStint,StintLen,CircuitLength,designedLaps,fuel_slope,fuel_bias,deg_slope,deg_bias,lag_slope_mean,lag_bias_mean
3905,Spanish Grand Prix,5,2018,Mercedes,SOFT,BOT,1.0,76.213,Qualifying,16.216666666666665,34.48888888888889,51.65,0.8333333333333334,2.0,2.0,1.0,6.0,2.0,18.0,4.655,66,-1.0238823529411771,103.78474509803924,-0.09164999999999703,83.53091111111105,-0.031028897721442985,83.20619418109584
3906,Spanish Grand Prix,5,2018,Mercedes,SOFT,HAM,1.0,76.173,Qualifying,16.117391304347827,33.38695652173914,52.02608695652174,0.8695652173913043,1.0,1.0,1.0,7.0,3.0,23.0,4.655,66,-0.7385362318840585,101.5116811594203,-0.04678571428571251,82.22478571428569,-0.06921785714285476,82.87784841269837
3907,Spanish Grand Prix,5,2018,Red Bull Racing,MEDIUM,RIC,2.0,76.818,Qualifying,16.28181818181818,31.66060606060606,51.42727272727273,0.7272727272727273,6.0,5.0,2.0,1.0,34.0,33.0,4.655,66,-1.0587741935483876,119.7888709677419,-0.295719179022515,97.07285372048325,-0.13821020130213607,89.2480611946873
3908,Spanish Grand Prix,5,2018,Red Bull Racing,MEDIUM,VER,2.0,76.816,Qualifying,16.303125,31.746875,51.328125,0.71875,5.0,3.0,2.0,1.0,35.0,32.0,4.655,66,-0.5894301075268816,102.72091397849462,-0.06589918356114165,83.54561994312454,-0.18080918129182832,90.3092368318039
3909,Spanish Grand Prix,5,2018,Red Bull Racing,SOFT,RIC,1.0,76.818,Qualifying,16.018749999999997,32.359375,52.571875,0.90625,6.0,5.0,1.0,6.0,2.0,32.0,4.655,66,-1.0587741935483876,119.7888709677419,-0.6165648178536282,96.0073780767969,-0.302057099775949,89.5473581233119
3910,Spanish Grand Prix,5,2018,Red Bull Racing,SOFT,VER,1.0,76.816,Qualifying,16.006060606060604,32.26969696969697,52.61212121212122,0.9090909090909092,5.0,3.0,1.0,6.0,2.0,33.0,4.655,66,-0.5894301075268816,102.72091397849462,-0.09018913043478177,83.79356304347824,-0.353376974144205,89.90047056013756
3911,Spanish Grand Prix,5,2018,Renault,MEDIUM,SAI,2.0,77.79,Qualifying,16.165,31.165,51.875,0.775,9.0,7.0,2.0,1.0,26.0,40.0,4.655,66,-1.342652173913043,121.49559420289856,-0.05229071677962643,84.77871493119733,,
3912,Spanish Grand Prix,5,2018,Renault,SOFT,HUL,1.0,78.923,Qualifying,15.3,35.0,54.1,0.0,16.0,20.0,1.0,1.0,0.0,1.0,4.655,66,,,,,,
3913,Spanish Grand Prix,5,2018,Renault,SOFT,SAI,1.0,77.79,Qualifying,16.10833333333333,33.27916666666667,52.208333333333336,0.875,9.0,7.0,1.0,7.0,2.0,24.0,4.655,66,-1.342652173913043,121.49559420289856,-1.120567164179106,102.88831343283583,,
3914,Spanish Grand Prix,5,2018,Sauber,MEDIUM,ERI,1.0,79.493,Qualifying,15.994117647058822,32.120588235294115,52.71470588235294,0.9411764705882352,17.0,13.0,1.0,3.0,2.0,34.0,4.655,66,-0.5355196078431367,103.81674509803919,-0.08496043478260679,86.06839724637678,,
